record_id,current_project,target_project,target_option_id,changed,date,content_preview
"rec27NYlNs3FjR","重庆sMES项目","重庆sMES项目","opt182dmud","","2026-6-16","弹簧流程配置"
"rec27NYlNs3Jfj","华纬其它项目","一厂大簧sMES","optCW4VaiM","YES","2026-7-2","一厂现场培训，处理问题：添加设备，账号，工艺路线等"
"rec27NYlNs3vFb","实验室Lims项目","实验室Lims项目","optQiKZwYn","","2026-4-14","Lims实验室数据整理-设备台账"
"rec27NYlNs3x58","重庆sMES项目","重庆sMES项目","opt182dmud","","2026-4-22","重庆sMES数据库安装协调沟通，安装完毕"
"rec27NYlNs3LfN","重庆sMES项目","重庆sMES项目","opt182dmud","","2026-7-8","测试区MES和数采结合调测推进"
"rec27NYlNs3A97","重庆sMES项目","重庆sMES项目","opt182dmud","","2026-5-20","协助导入测试环境数据"
"rec27NYlNs3I5g","华纬其它项目","一厂大簧sMES","optCW4VaiM","YES","2026-6-26","了解一厂大簧生产状况，系统使用情况"
"rec27NYlNs3KzK","华纬其它项目","三厂小簧sMES","optwWV5zMc","YES","2026-7-6","三厂小簧现场确认展示屏点位，网络走线"
"rec27NYlNs3rAk","华纬其它项目","华纬其它项目","opteTogMUj","","2026-3-16","巡视车间系统运行状况"
"rec27NYlNs3MaB","华纬其它项目","三厂小簧sMES","optwWV5zMc","YES","2026-7-10","三厂小簧设备硬件需求沟通跟进"
"rec27NYlNs3qwO","华纬其它项目","二厂大簧sMES","optPJuvP6Q","YES","2026-3-11","日常巡视二厂车间系统运行状况"
"rec27NYlNs3rIF","华纬其它项目","华纬其它项目","opteTogMUj","","2026-3-16","多厂生产交叉共用的工艺流程？？"
"rec27NYlNs3AOE","重庆sMES项目","重庆sMES项目","opt182dmud","","2026-5-22","现场有台工控机操作系统无法启动，安装操作系统"
"rec27NYlNs3tf0","华纬其它项目","华纬其它项目","opteTogMUj","","2026-3-26","材料厂例会,手机安装培训"
"rec27NYlNs3AiW","实验室Lims项目","实验室Lims项目","optQiKZwYn","","2026-5-21","Lims 用户需求与系统更改优化进度跟踪"
"rec27NYlNs3DxE","重庆sMES项目","重庆sMES项目","opt182dmud","","2026-6-5","提供点检表资料给鼎捷"
"rec27NYlNs3yjk","华纬其它项目","华纬其它项目","opteTogMUj","","2026-5-6","送货单处理，服务器事项跟踪"
"rec27NYlNs3u0F","实验室Lims项目","实验室Lims项目","optQiKZwYn","","2026-4-2","实验室系统Sein Lims用户新增需求，硬件电脑 平板同步跟踪；已经提供数量8台WindowsIPAD,一台电脑"
"rec27NYlNs3D9I","重庆sMES项目","重庆sMES项目","opt182dmud","","2026-6-5","周五例会推进MES项目"
"rec27NYlNs3scr","华纬其它项目","二厂大簧sMES","optPJuvP6Q","YES","2026-3-19","二厂弹簧质量部门培训MES系统操作"
"rec27NYlNs3zbf","实验室Lims项目","实验室Lims项目","optQiKZwYn","","2026-5-14","协调跟催项目进度"
"rec27NYlNs3MTg","华纬其它项目","三厂小簧sMES","optwWV5zMc","YES","2026-7-14","三厂小簧现场设备安装提供示例图片"
"rec27NYlNs3DYt","重庆sMES项目","重庆sMES项目","opt182dmud","","2026-6-5","跟催设备标牌制作"
"rec27NYlNs3GaJ","重庆sMES项目","重庆sMES项目","opt182dmud","","2026-6-22","重庆数采5处网络缺失点位沟通协调"
"rec27NYlNs3y24","实验室Lims项目","实验室Lims项目","optQiKZwYn","","2026-4-29","项目启动碰头会-前期工作已经准备完毕，用户可以操作起来"
"rec27NYlNs3wCr","重庆sMES项目","重庆sMES项目","opt182dmud","","2026-4-20","重庆服务器物理部署到位后，系统环境安装部署"
"rec27NYlNs3LvJ","华纬其它项目","三厂小簧sMES","optwWV5zMc","YES","2026-7-8","三厂小簧蓝图、流程规划设计会"
"rec27NYlNs3xM3","重庆sMES项目","重庆sMES项目","opt182dmud","","2026-4-27","数采进度跟踪推进-确定安排发货时间点-4/30前已经到位"
"rec27NYlNs3vZI","重庆sMES项目","重庆sMES项目","opt182dmud","","2026-4-16","协助重庆sMES项目安装服务器SQL server  IIOT\ESB\AP\DB\"
"rec27VNtWw2JFs","三厂小簧sMES","三厂小簧sMES","optwWV5zMc","","2026-8-5","三厂小簧安装数采10个"
"rec27NYlNs3GWo","重庆sMES项目","重庆sMES项目","opt182dmud","","2026-6-23","借用MES用户数审批流程-盖章"
"rec27NYlNs3ILd","华纬其它项目","华纬其它项目","opteTogMUj","","2026-6-30","三厂材料厂数采进度表格事项更新"
"rec27NYlNs3ys2","重庆sMES项目","重庆sMES项目","opt182dmud","","2026-5-8","周五例会推进MES项目，入场实施"
"rec27NYlNs3FIW","重庆sMES项目","重庆sMES项目","opt182dmud","","2026-6-17","整理项目整体进度，数采进度，后续开展工作安排"
"rec27NYlNs3xmG","华纬其它项目","二厂大簧sMES","optPJuvP6Q","YES","2026-4-23","华纬二厂卷簧机安装采集器"
"rec27NYlNs3E4E","重庆sMES项目","重庆sMES项目","opt182dmud","","2026-6-8","17个点位布线"
"rec27NYlNs3qLA","华纬其它项目","二厂大簧sMES","optPJuvP6Q","YES","2026-3-11","二厂车间了解熟悉稳定杆产线作业流程"
"rec27NYlNs3M1Z","华纬其它项目","一厂大簧sMES","optCW4VaiM","YES","2026-7-9","一厂大簧作业人员按班组划分-区分权限，只能操作本班组的设备：群组-过账权限"
"rec27NYlNs3CXB","重庆sMES项目","重庆sMES项目","opt182dmud","","2026-6-4","现场新增点位统计13个，联络网络公司，勘察现场，布线之前准备工作"
"rec27NYlNs3NlU","华纬其它项目","实验室Lims项目","optQiKZwYn","YES","2026-7-16","华纬实验室LIMS系统温湿度传感器网络故障排查处理-光纤线路"
"rec27NYlNs3Cv3","重庆sMES项目","重庆sMES项目","opt182dmud","","2026-6-4","流转卡确认是否添加检验员"
"rec27NYlNs3Gua","华纬其它项目","华纬其它项目","opteTogMUj","","2026-6-22","协调推进服务器安装进度"
"rec27NYlNs3Ca5","重庆sMES项目","重庆sMES项目","opt182dmud","","2026-6-2","数采工程师入场，下午现场对着数采清单清点了解弹簧设备"
"rec27NYlNs3rMO","华纬其它项目","华纬其它项目","opteTogMUj","","2026-3-16","4个周会，数采设备采集，金晟数据是否已经采集成功，成功的话和SMES对接"
"rec27NYlNs3sXg","重庆sMES项目","重庆sMES项目","opt182dmud","","2026-3-24","重庆工作台事项沟通进度，答复“工作台已经到货了，等待供应商安装，预计本周内完成”，延期至2026年4月5号之前--202"
"rec27NYlNs3JWp","重庆sMES项目","重庆sMES项目","opt182dmud","","2026-7-3","例行周五例会-6月份阶段工作汇报总结，后续工作开展计划"
"rec27NYlNs3xvE","华纬其它项目","无锡泽根sMES项目","optIk7j3kd","YES","2026-4-24","项目启动碰头会-下个星期二28号去苏州-点定位，配硬件，数据资料收集模版、大屏呢？"
"rec27NYlNs3sSX","实验室Lims项目","实验室Lims项目","optQiKZwYn","","2026-3-24","实验室系统Sein Lims安装传感器完成，需要硬网分配，配置IP
2026/03/25配置IP完成--截止2026年3"
"rec27NYlNs3MPb","重庆sMES项目","重庆sMES项目","opt182dmud","","2026-7-14","沟通会议确定数采输出方向-产量、机器状况、关键参数"
"rec27NYlNs3MLi","华纬其它项目","二厂大簧sMES","optPJuvP6Q","YES","2026-7-14","二厂大簧大屏展示布电协调作业-电焊安装两个大屏"
"rec27NYlNs3A5a","重庆sMES项目","重庆sMES项目","opt182dmud","","2026-5-20","更换现场蓝屏管控机一台"
"rec27NYlNs3uul","重庆sMES项目","重庆sMES项目","opt182dmud","","2026-4-3","重庆-及时同步服务器到厂具体时间（暂定4月6号到达重庆工厂）。（华纬科技）-4月8号到位"
"rec27NYlNs3LXR","华纬其它项目","一厂大簧sMES","optCW4VaiM","YES","2026-7-9","一厂大簧上料校验确认：是否需要校验到炉号、件号-7.13确认按原逻辑，后续有变化再通知"
"rec27NYlNs3Inz","(空)","无锡泽根sMES项目","optIk7j3kd","YES","2026-6-26","交接无锡泽根项目资料"
"rec27NYlNs3Ktn","华纬其它项目","二厂大簧sMES","optPJuvP6Q","YES","2026-7-6","二厂大簧现场确认展示屏点位，网络走线"
"rec27NYlNs3xa7","重庆sMES项目","重庆sMES项目","opt182dmud","","2026-4-23","安装向日葵提供远程协助"
"rec27NYlNs3rEq","华纬其它项目","华纬其它项目","opteTogMUj","","2026-3-16","熟悉了解SMES界面模块-生产模型管理模块"
"rec27NYlNs3HC1","(空)","一厂大簧sMES","optCW4VaiM","YES","2026-6-24","弹簧一厂阶段对接会议"
"rec27NYlNs3NUu","实验室Lims项目","实验室Lims项目","optQiKZwYn","","2026-7-17","样品管理-样品拆分 搜索栏目增加 委托单号"
"rec27NYlNs3wKs","重庆sMES项目","重庆sMES项目","opt182dmud","","2026-4-20","重庆数采项目进度协调跟进"
"rec27NYlNs3BNX","重庆sMES项目","重庆sMES项目","opt182dmud","","2026-6-1","设备编码二维码资料生成整理-提供给用户打印标识牌"
"rec27NYlNs3xey","华纬其它项目","无锡泽根sMES项目","optIk7j3kd","YES","2026-4-23","沟通无锡泽根项目推进，组织会议，实施开始前的沟通协调，总体部署"
"rec27NYlNs3s3V","华纬其它项目","华纬其它项目","opteTogMUj","","2026-3-18","公司大屏展示事项，周五之前提供"
"rec27NYlNs3v81","重庆sMES项目","重庆sMES项目","opt182dmud","","2026-4-10","华纬汽车零部件（重庆）有限公司-周五例会-数采设备厂商对接需要抓紧推进，数采服务商好开展后续工作"
"rec27NYlNs3yPt","重庆sMES项目","重庆sMES项目","opt182dmud","","2026-5-11","协调沟通进场具体时间"
"rec27NYlNs3tEU","实验室Lims项目","实验室Lims项目","optQiKZwYn","","2026-3-30","实验室系统Sein Lims星期一、二实施方上门安装调试传感器-安装好了目前未调试好"
"recvrCNNN7G5Rg","一厂大簧sMES","一厂大簧sMES","optCW4VaiM","","2026-8-6","会议协调"
"rec27NYlNs3AVs","重庆sMES项目","重庆sMES项目","opt182dmud","","2026-5-25","整理基础资料台账，确认数据无误，规范导入，清单见列表"
"rec27NYlNs3vbU","实验室Lims项目","实验室Lims项目","optQiKZwYn","","2026-4-13","上星期Lims实验室数据收集完成--这个星期整理、导入-未完成"
"rec27NYlNs3uG2","重庆sMES项目","重庆sMES项目","opt182dmud","","2026-4-3","车间网络部署完成。（华纬科技）"
"rec27NYlNs3MqF","华纬其它项目","二厂大簧sMES","optPJuvP6Q","YES","2026-7-13","二厂大簧展示大屏安装电源事项"
"rec27NYlNs3Anx","华纬其它项目","无锡泽根sMES项目","optIk7j3kd","YES","2026-5-21","协调沟通5.25项目启动会"
"rec27NYlNs3L9w","华纬其它项目","华纬其它项目","opteTogMUj","","2026-7-8","实施项目总体规划，跟进整理"
"rec27NYlNs3HTg","华纬其它项目","华纬其它项目","opteTogMUj","","2026-8-5","金晟现场了解防差错使用-确定没有批次追溯功能"
"rec27NYlNs3qCa","华纬其它项目","二厂大簧sMES","optPJuvP6Q","YES","2026-3-11","二厂-鼎华实施顾问、用户、IT系统进度会议"
"rec27NYlNs3vAT","重庆sMES项目","重庆sMES项目","opt182dmud","","2026-4-13","重庆数采没啥进度需要协调跟进"
"rec27NYlNs3HeW","重庆sMES项目","重庆sMES项目","opt182dmud","","2026-6-24","整理SMES操作手册"
"rec27NYlNs3JPw","重庆sMES项目","重庆sMES项目","opt182dmud","","2026-7-3","检查MES数据准确性，纠正产线错误操作"
"rec27NYlNs3B8V","重庆sMES项目","重庆sMES项目","opt182dmud","","2026-5-27","整理基础资料台账，确认数据无误，规范导入，清单见列表"
"rec27NYlNs3CD1","重庆sMES项目","重庆sMES项目","opt182dmud","","2026-6-4","数采现场设备信息收集整理完成-待办发送给相关人"
"rec27NYlNs3JGS","华纬其它项目","一厂大簧sMES","optCW4VaiM","YES","2026-7-2","一厂现场培训，处理问题：添加设备，账号，工艺路线等"
"rec27NYlNs3Eas","重庆sMES项目","重庆sMES项目","opt182dmud","","2026-6-8","准备全流程演示准备"
"rec27NYlNs3taK","华纬其它项目","华纬其它项目","opteTogMUj","","2026-3-26","华纬大簧例会"
"rec27NYlNs3DkP","重庆sMES项目","重庆sMES项目","opt182dmud","","2026-6-5","上料功能跟进、U9环境"
"rec27NYlNs3IbX","重庆sMES项目","重庆sMES项目","opt182dmud","","2026-6-26","重庆周五项目例会"
"rec27NYlNs3stY","重庆sMES项目","重庆sMES项目","opt182dmud","","2026-3-20","华纬鼎捷重庆项目服务器配置提供，选型"
"rec27NYlNs3zZc","重庆sMES项目","重庆sMES项目","opt182dmud","","2026-5-20","整理基础资料台账，确认数据无误，规范"
"rec27NYlNs3ubY","实验室Lims项目","实验室Lims项目","optQiKZwYn","","2026-4-3","赛印设备19的还是获取不到数据，问题网络不通-当天解决了"
"rec27NYlNs3wkF","实验室Lims项目","实验室Lims项目","optQiKZwYn","","2026-4-20","Lims 实验室设备数据采集程序开发（已完成 3 个配套）"
"rec27NYlNs3HNS","华纬其它项目","华纬其它项目","opteTogMUj","","2026-6-25","跟踪大簧实施现况，了解情况是不理想，半停摆"
"rec27NYlNs3vsI","实验室Lims项目","实验室Lims项目","optQiKZwYn","","2026-4-13","Lims实验室设备，数据采集程序开发进度，此前是开发了3个配套的--进行中"
"rec27WakzcwpBn","一厂大簧sMES","一厂大簧sMES","optCW4VaiM","","2026-8-6","会议协调"
"rec27NYlNs3ro1","华纬其它项目","华纬其它项目","opteTogMUj","","2026-3-13","金晟和翁子淮现场处理异常"
"rec27NYlNs3Eij","重庆sMES项目","重庆sMES项目","opt182dmud","","2026-6-8","落实新购两台打印机、扫描枪，到位"
"rec27NYlNs3J0e","华纬其它项目","一厂大簧sMES","optCW4VaiM","YES","2026-7-1","一厂车间大屏定位确认"
"rec27NYlNs3LTS","华纬其它项目","三厂小簧sMES","optwWV5zMc","YES","2026-7-9","三厂小簧设备硬件需求沟通跟进"
"rec27NYlNs3MGW","华纬其它项目","一厂大簧sMES","optCW4VaiM","YES","2026-7-13","一厂大簧完成安装仓库两个大屏"
"rec27NYlNs3Evs","重庆sMES项目","重庆sMES项目","opt182dmud","","2026-6-9","准备全流程演示准备"
"rec27NYlNs3Cer","重庆sMES项目","重庆sMES项目","opt182dmud","","2026-6-2","上午现场对着数采清单清点了解弹簧设备"
"rec27NYlNs3sq6","重庆sMES项目","重庆sMES项目","opt182dmud","","2026-3-19","华纬鼎捷重庆项目和后期实施方碰头，服务器配置待提供，确定固定实施人员"
"rec27NYlNs3wgG","实验室Lims项目","实验室Lims项目","optQiKZwYn","","2026-4-20","Lims 实验室数据整理 - 设备台账"
"rec27NYlNs3O9E","实验室Lims项目","实验室Lims项目","optQiKZwYn","","2026-7-17","华纬实验室LIMS系统温湿度传感器网络故障排查处理-光纤线路"
"rec27NYlNs3J84","华纬其它项目","一厂大簧sMES","optCW4VaiM","YES","2026-7-2","一厂现场培训，处理问题：添加设备，账号，工艺路线等"
"rec27NYlNs3LlQ","华纬其它项目","一厂大簧sMES","optCW4VaiM","YES","2026-7-8","一厂大簧现场解决问题，人员账号新增、权限配置"
"rec27NYlNs3AHk","重庆sMES项目","重庆sMES项目","opt182dmud","","2026-5-22","现场工控机安装打印机"
"rec27NYlNs3rjT","华纬其它项目","华纬其它项目","opteTogMUj","","2026-3-13","继续熟悉SMES系统模块"
"rec27NYlNs3t5I","重庆sMES项目","重庆sMES项目","opt182dmud","","2026-3-25","华纬鼎捷重庆项目服务器配置提供确认提供给王瑞"
"rec27NYlNs3vga","实验室Lims项目","实验室Lims项目","optQiKZwYn","","2026-4-13","Lims系统确认车间网络，是否需要部署-现有网络"
"rec27NYlNs3sGt","实验室Lims项目","实验室Lims项目","optQiKZwYn","","2026-3-23","实验室系统Sein Lims星期一、二实施方上门安装传感器，跟进"
"rec27NYlNs3KQs","华纬其它项目","一厂大簧sMES","optCW4VaiM","YES","2026-7-7","一厂大簧安排筹备周三MES上线动员大会"
"rec27NYlNs3LPQ","华纬其它项目","一厂大簧sMES","optCW4VaiM","YES","2026-7-9","一厂大簧PDA事项跟进，重新收集统计需求（确认暂时定5个）"
"rec27NYlNs3zHc","重庆sMES项目","重庆sMES项目","opt182dmud","","2026-5-15","工控点位电脑配置SEMSIP地址，修改电脑名等"
"rec27NYlNs3MeB","华纬其它项目","三厂小簧sMES","optwWV5zMc","YES","2026-7-10","三厂小簧车间网络无线信号不好问题协调处理（数采实施方提出的）"
"rec27NYlNs3BXg","重庆sMES项目","重庆sMES项目","opt182dmud","","2026-6-1","盘点现场变更的报工点，网线电源重新部署--实心杆和冷卷线各一台"
"rec27NYlNs3zzG","重庆sMES项目","重庆sMES项目","opt182dmud","","2026-5-15","现场二次调研"
"rec27NYlNs3L3k","华纬其它项目","一厂大簧sMES","optCW4VaiM","YES","2026-7-8","一厂大簧MES上线动员大会"
"rec27NYlNs3vRz","华纬其它项目","二厂大簧sMES","optPJuvP6Q","YES","2026-4-15","二厂大簧数采项目安装配合协助"
"rec27NYlNs3wul","实验室Lims项目","实验室Lims项目","optQiKZwYn","","2026-4-20","Lims 系统相关设备采购 1 台电脑"
"rec27NYlNs3ynA","实验室Lims项目","实验室Lims项目","optQiKZwYn","","2026-5-7","配合用户跑流程，解决处理碰到的问题"
"rec27NYlNs3KXV","华纬其它项目","三厂小簧sMES","optwWV5zMc","YES","2026-7-7","三厂小簧确认倒角机需要提供给数采的具体参数"
"rec27NYlNs3zs4","重庆sMES项目","重庆sMES项目","opt182dmud","","2026-5-14","现场盘点工控机状况：	""弹簧线
冷卷线 → 工控 1（需挪位、电源未装、网线重走）
预热炉 → 工控 2（电源未就位）
"
"rec27NYlNs3rbQ","华纬其它项目","华纬其它项目","opteTogMUj","","2026-3-13","下午1点文控管理交流会议"
"rec27NYlNs3GOY","重庆sMES项目","重庆sMES项目","opt182dmud","","2026-6-23","天枢控制器联网要求告知函审批流程-盖章"
"rec27NYlNs3D38","重庆sMES项目","重庆sMES项目","opt182dmud","","2026-6-4","产品绑定工艺流程资料整理导入模版"
"rec27NYlNs3LHU","华纬其它项目","一厂大簧sMES","optCW4VaiM","YES","2026-7-9","一厂大簧热处理夜班员工加班培训，安装APP"
"rec27NYlNs3F8a","重庆sMES项目","重庆sMES项目","opt182dmud","","2026-6-15","空心杆产线培训，实际操作"
"rec27NYlNs3Bzu","华纬其它项目","无锡泽根sMES项目","optIk7j3kd","YES","2026-5-29","收集数据资料模版提供给无锡泽根"
"rec27NYlNs3C5m","重庆sMES项目","重庆sMES项目","opt182dmud","","2026-6-2","设备编码二维码资料生成整理"
"rec27NYlNs3trE","重庆sMES项目","重庆sMES项目","opt182dmud","","2026-3-27","华纬汽车零部件（重庆）有限公司-基础资料规范，提供模版给米琳，搜集资料---已经提供，跟踪收集提供的进度，结果"
"rec27NYlNs3O1I","实验室Lims项目","实验室Lims项目","optQiKZwYn","","2026-7-17","样品管理-样品接收 搜索栏目增加 委托单号"
"rec27NYlNs3tnt","重庆sMES项目","重庆sMES项目","opt182dmud","","2026-3-27","华纬鼎捷重庆项目星期五例会、现场采购打印机信息已经提供给米琳；工作台需要跟进-清明前安装部署到位；服务器部署到位，预估清"
"rec27NYlNs3wWg","华纬其它项目","无锡泽根sMES项目","optIk7j3kd","YES","2026-4-21","沟通无锡泽根项目推进进度、孙佳迅未提供出货单
先提供后再进行下一步操作"
"rec27NYlNs3qGX","华纬其它项目","华纬其它项目","opteTogMUj","","2026-3-11","设备基础数据配置全流程SOP操作规范文档输出"
"rec27NYlNs3sKC","重庆sMES项目","重庆sMES项目","opt182dmud","","2026-3-23","华纬鼎捷重庆服务器配置已经提供，自己内部确定型号"
"rec27NYlNs3EWJ","重庆sMES项目","重庆sMES项目","opt182dmud","","2026-8-5","空心杆产线培训，实际操作"
"rec27NYlNs3wGg","重庆sMES项目","重庆sMES项目","opt182dmud","","2026-4-20","协助重庆 sMES 项目安装服务器组件：SQL Server / IIOT / ESB / AP / DB"
"rec27NYlNs3DqW","重庆sMES项目","重庆sMES项目","opt182dmud","","2026-6-5","全流程演示重新倒排计划跟进"
"rec27NYlNs3voL","实验室Lims项目","实验室Lims项目","optQiKZwYn","","2026-4-13","Lims用户需求，系统更改优化进度跟踪--进行中"
"rec27NYlNs3uMT","重庆sMES项目","重庆sMES项目","opt182dmud","","2026-4-3","重庆-待服务器到厂后，立即安排专人负责系统安装部署。（鼎捷数智）-部署规划线提供"
"rec27WaAaFTVUD","一厂大簧sMES","一厂大簧sMES","optCW4VaiM","","2026-7-22","班组负责人现场培训"
"rec27NYlNs3NeW","华纬其它项目","华纬其它项目","opteTogMUj","","2026-7-15","三厂大簧大屏安装事宜完成"
"rec27NYlNs3xrw","重庆sMES项目","重庆sMES项目","opt182dmud","","2026-4-24","华纬汽车零部件（重庆）有限公司-周五例会"
"rec27NYlNs3xE4","实验室Lims项目","实验室Lims项目","optQiKZwYn","","2026-4-27","基础资料导入，剩余设备台账已经完成导入"
"rec27NYlNs3sCh","华纬其它项目","华纬其它项目","opteTogMUj","","2026-3-20","金晟公司现场处理产线问题"
"rec27NYlNs3Fsv","重庆sMES项目","重庆sMES项目","opt182dmud","","2026-6-17","弹簧流程培训"
"rec27NYlNs3F3P","重庆sMES项目","重庆sMES项目","opt182dmud","","2026-6-12","空心杆产线培训，实际操作"
"rec27NYlNs3xYd","华纬其它项目","无锡泽根sMES项目","optIk7j3kd","YES","2026-4-28","无锡泽根项目推进，和鼎捷实施初访"
"rec27NYlNs3w3Y","重庆sMES项目","重庆sMES项目","opt182dmud","","2026-4-17","鼎捷重庆实施负责人诸暨厂调研、咨询"
"rec27NYlNs3wOj","重庆sMES项目","重庆sMES项目","opt182dmud","","2026-4-21","梳理流程进度表，按全生命周期管理管控重新设计表格"
"rec27NYlNs3MmE","重庆sMES项目","重庆sMES项目","opt182dmud","","2026-7-10","报表事项跟进推动-群消息 要求收集部门报表设计，用户验收"
"rec27NYlNs3ITG","华纬其它项目","一厂大簧sMES","optCW4VaiM","YES","2026-7-1","一厂车间处理问题，培训报工、账号登录、系统报工"
"rec27NYlNs3Cz6","重庆sMES项目","重庆sMES项目","opt182dmud","","2026-6-4","落实新购两台打印机、扫描枪"
"rec27NYlNs3GH7","重庆sMES项目","重庆sMES项目","opt182dmud","","2026-6-23","项目管理共识纪要审批流程-盖章"
"rec27NYlNs3wSp","重庆sMES项目","重庆sMES项目","opt182dmud","","2026-4-21","沟通服务器安装数据库安装事宜，未有结果"
"rec27NYlNs3IAx","华纬其它项目","一厂大簧sMES","optCW4VaiM","YES","2026-6-30","一厂现场实际操作-卷簧领料→仓库发料→卷簧上料"
"rec27NYlNs3zSP","重庆sMES项目","重庆sMES项目","opt182dmud","","2026-5-19","整理基础资料台账，确认数据无误，规范"
"rec27NYlNs3u82","实验室Lims项目","实验室Lims项目","optQiKZwYn","","2026-4-2","实验室系统Sein Lims系统设备温湿度采集器状态不稳定，问题原因没找到，2026/04/3号已经解决"
"rec27NYlNs3yfg","华纬其它项目","二厂大簧sMES","optPJuvP6Q","YES","2026-4-30","二厂弹簧周会"
"rec27NYlNs3qYq","华纬其它项目","二厂大簧sMES","optPJuvP6Q","YES","2026-3-12","二厂车间了解熟悉弹簧产线作业流程"
"rec27NYlNs3EC9","重庆sMES项目","重庆sMES项目","opt182dmud","","2026-6-10","空心杆线演示"
"rec27NYlNs3tNd","实验室Lims项目","实验室Lims项目","optQiKZwYn","","2026-3-31","实验室系统Sein Lims远程调试传感器，数据读不到，供应商远程调测中；
2026/04/03已经读取，两台网络有问题"
"rec27NYlNs3Ihs","华纬其它项目","华纬其它项目","opteTogMUj","","2026-6-26","华纬三厂大簧了解系统前期上线准备工作"
"rec27NYlNs3HI2","实验室Lims项目","实验室Lims项目","optQiKZwYn","","2026-6-25","跟进lims系统后续实施人员"
"rec27NYlNs3t1p","实验室Lims项目","实验室Lims项目","optQiKZwYn","","2026-3-25","实验室系统Sein Lims安装传感器完成，待服务商上门，他们在确认时间；确定03/30号上门安装调试培训"
"rec27NYlNs3LE0","华纬其它项目","一厂大簧sMES","optCW4VaiM","YES","2026-7-9","一厂大簧现场处理问题，添加账号，培训作业，卷簧热处理"
"rec27NYlNs3N8k","华纬其它项目","一厂大簧sMES","optCW4VaiM","YES","2026-7-15","一厂大簧MES车间现场处理问题-李治红"
"rec27NYlNs3MCP","华纬其它项目","一厂大簧sMES","optCW4VaiM","YES","2026-7-13","一厂大簧车间培训，处理问题，修改账号权限hw1048"
"rec27NYlNs3uRc","实验室Lims项目","实验室Lims项目","optQiKZwYn","","2026-4-7","赛印基础数据-员工账号收集整理，匹配U9账号"
"rec27NYlNs3yK3","华纬其它项目","华纬其它项目","opteTogMUj","","2026-5-11","周一部门例会"
"rec27NYlNs3z7o","重庆sMES项目","重庆sMES项目","opt182dmud","","2026-5-14","鼎华实施顾问，工厂负责人，现场详细了解生产状况，流程"
"rec27NYlNs3KbU","华纬其它项目","三厂小簧sMES","optwWV5zMc","YES","2026-7-3","三厂小簧现场和数采协助部署"
"rec27NYlNs3xAc","实验室Lims项目","实验室Lims项目","optQiKZwYn","","2026-4-27","Lims 实验室历史测试数据清空"
"rec27NYlNs3rfU","华纬其它项目","二厂大簧sMES","optPJuvP6Q","YES","2026-3-13","日常巡视二厂车间系统运行状况"
"rec27NYlNs3rR4","华纬其它项目","无锡泽根sMES项目","optIk7j3kd","YES","2026-3-17","出差-江苏泽根鼎捷SMES上线前数采点位+工艺流程、现场沟通"
"rec27NYlNs3xIf","重庆sMES项目","重庆sMES项目","opt182dmud","","2026-4-27","数据库服务器，个案申请sMES授权"
"rec27NYlNs3HlW","(空)","无锡泽根sMES项目","optIk7j3kd","YES","2026-6-24","协调推进无锡项目服务器安装规划安排"
"rec27NYlNs3syb","华纬其它项目","华纬其它项目","opteTogMUj","","2026-3-20","公司大屏展示收集展示样例，设计排版，提供五种版面"
"rec27NYlNs3IED","重庆sMES项目","重庆sMES项目","opt182dmud","","2026-6-30","沟通包装U9功能扫码校验功能-流转卡和合格证标签绑定"
"rec27NYlNs3y6e","华纬其它项目","华纬其它项目","opteTogMUj","","2026-4-29","服务器跟踪；硬件联系沟通-郑少青"
"rec27NYlNs3Muv","华纬其它项目","三厂小簧sMES","optwWV5zMc","YES","2026-7-13","三厂小簧展示大屏安装电源事项"
"rec27NYlNs3vwY","重庆sMES项目","重庆sMES项目","opt182dmud","","2026-4-13","重庆上星期服务器物理部署到位-这星期系统环境安装部署推进-4/15号开始"
"rec27NYlNs3wca","实验室Lims项目","实验室Lims项目","optQiKZwYn","","2026-4-20","Lims 用户需求与系统更改优化进度跟踪"
"rec27NYlNs3uZp","重庆sMES项目","重庆sMES项目","opt182dmud","","2026-4-8","重庆服务器安装部署远程、网络环境、配置局域网和华纬本部连通"
"rec27NYlNs3xU0","重庆sMES项目","重庆sMES项目","opt182dmud","","2026-4-27","基础资料初步清理，把控"
"rec27NYlNs3r2D","华纬其它项目","华纬其它项目","opteTogMUj","","2026-3-12","熟悉了解SMES界面模块-质量控制模块、SPC与8D管理模块"
"rec27NYlNs3NN6","华纬其它项目","一厂大簧sMES","optCW4VaiM","YES","2026-7-17","一厂大簧：今天开始，除热卷、卷簧和朱文举师傅负责的班组仍使用简易报工外，其余班组使用子作业报工@陈丹锋(陈丹锋)@于丽华"
"rec27NYlNs3Ciy","重庆sMES项目","重庆sMES项目","opt182dmud","","2026-6-3","下午现场对着数采清单清点了解稳定杆设备"
"rec27NYlNs3LA8","华纬其它项目","三厂小簧sMES","optwWV5zMc","YES","2026-7-9","三厂小簧问题管制表同步建立"
"rec27NYlNs3N1k","华纬其它项目","一厂大簧sMES","optCW4VaiM","YES","2026-7-15","一厂大簧MES上线周例会"
