title,project,project_id,source,source_id,priority,priority_id,status,status_id,discover_date,plan_date,close_criteria,weekly_category,weekly_category_id,resource_needed
"重庆sMES-设备数采-5处网络缺失点位协调","重庆sMES项目","optK30Y3vm","现场反馈","optfdhlDhk","P1","optj9gs5Kk","进行中","optTRLa48U","2026-6-22","2026-8-31","5处点位全部通电+网线铺设完成+数据进MES","重点问题","optPBtYIMh","协调网络公司"
"重庆sMES-系统环境-服务器部署(SQL/IIOT/ESB/AP/DB)","重庆sMES项目","optK30Y3vm","系统异常","optrWzqbOC","P1","optj9gs5Kk","进行中","optTRLa48U","2026-3-20","2026-4-30","五组件安装完成+华纬本部连通+远程可访问","重点问题","optPBtYIMh","鼎捷实施+IT"
"重庆sMES-设备数采-工控点位盘点与整改","重庆sMES项目","optK30Y3vm","现场反馈","optfdhlDhk","P1","optj9gs5Kk","进行中","optTRLa48U","2026-5-14","2026-8-31","各工控点位电源/网线/编号/系统全部就位","重点问题","optPBtYIMh","电工/网络公司"
"重庆sMES-U9接口-工单/物料/仓库接口调测","重庆sMES项目","optK30Y3vm","系统异常","optrWzqbOC","P1","optj9gs5Kk","进行中","optTRLa48U","2026-5-22","2026-7-31","三接口调测通过+账号权限确认","本周推进","opt3icSrMC","U9与SMES接口团队"
"重庆sMES-基础资料-台账清理规范导入","重庆sMES项目","optK30Y3vm","用户需求","opthKbCKQM","P2","opt0BgCHzl","进行中","optTRLa48U","2026-5-19","2026-6-30","基础资料台账全部校验导入","本周推进","opt3icSrMC",""
"重庆sMES-报表看板-部门报表收集与验收","重庆sMES项目","optK30Y3vm","用户需求","opthKbCKQM","P2","opt0BgCHzl","待启动","optFwihmEz","2026-7-10","2026-9-30","各部门报表设计收集完成+用户验收","下周计划","optC0MbWlv",""
"一厂大簧-系统管理-账号权限与班组权限配置","一厂大簧sMES","optL6YOJJc","用户需求","opthKbCKQM","P1","optj9gs5Kk","进行中","optTRLa48U","2026-7-1","2026-8-31","除热卷/卷簧/朱文举班组外全部切换子作业报工+权限按班组划分","本周推进","opt3icSrMC",""
"一厂大簧-培训上线-MES上线动员与全员培训","一厂大簧sMES","optL6YOJJc","会议决策","optLNqH2bs","P2","opt0BgCHzl","进行中","optTRLa48U","2026-7-7","2026-8-31","动员大会+各班组操作培训完成","本周推进","opt3icSrMC",""
"一厂大簧-报表看板-车间大屏安装与点位确认","一厂大簧sMES","optL6YOJJc","现场反馈","optfdhlDhk","P2","opt0BgCHzl","进行中","optTRLa48U","2026-7-1","2026-8-31","仓库/车间大屏安装+布电+走线完成","本周推进","opt3icSrMC","电工"
"一厂大簧-系统管理-信息箱接电协调","一厂大簧sMES","optL6YOJJc","会议决策","optLNqH2bs","P2","opt0BgCHzl","进行中","optTRLa48U","2026-7-10","2026-8-31","电工指派+信息箱接电完成","重点问题","optPBtYIMh","电工指派"
"三厂小簧-设备数采-数采部署与设备参数提供","三厂小簧sMES","opthzdjs8v","现场反馈","optfdhlDhk","P1","optj9gs5Kk","进行中","optTRLa48U","2026-7-7","2026-8-31","数采10个安装+倒角机参数提供+协助部署完成","重点问题","optPBtYIMh","数采实施方"
"三厂小簧-设备数采-车间网络无线信号差","三厂小簧sMES","opthzdjs8v","现场反馈","optfdhlDhk","P2","opt0BgCHzl","进行中","optTRLa48U","2026-7-10","2026-8-31","无线信号改善+数采稳定运行","重点问题","optPBtYIMh","网络公司"
"三厂小簧-系统管理-展示大屏安装与电源布线","三厂小簧sMES","opthzdjs8v","会议决策","optLNqH2bs","P3","optzV9bQ6B","进行中","optTRLa48U","2026-7-13","2026-8-31","大屏安装+电源事项完成","本周推进","opt3icSrMC","电工"
"二厂大簧-设备数采-采集器安装+大屏安装","二厂大簧sMES","optSJb61IP","会议决策","optLNqH2bs","P2","opt0BgCHzl","进行中","optTRLa48U","2026-4-14","2026-9-30","卷簧机/抛丸机采集器安装+大屏布电走线完成","长期跟踪","opt2IMkpmF",""
"无锡泽根-项目启动-启动会筹备与实施进场","无锡泽根sMES项目","optJy1q7EM","会议决策","optLNqH2bs","P1","optj9gs5Kk","进行中","optTRLa48U","2026-4-24","2026-6-30","启动会完成+硬件配置+实施进场","长期跟踪","opt2IMkpmF","鼎捷实施"
"无锡泽根-实施协调-出货单阻塞(孙佳迅未提供)","无锡泽根sMES项目","optJy1q7EM","现场反馈","optfdhlDhk","P1","optj9gs5Kk","暂缓","optG96K0ve","2026-4-21","","出货单提供后推进下一步","重点问题","optPBtYIMh","孙佳迅提供出货单"
"实验室Lims-设备数采-温湿度传感器网络与数据采集","实验室Lims项目","optG9Uhmb4","系统异常","optrWzqbOC","P1","optj9gs5Kk","进行中","optTRLa48U","2026-3-24","2026-5-31","传感器全部联网+数据读取稳定+IP配置完成","长期跟踪","opt2IMkpmF","硬网/赛印"
"实验室Lims-系统管理-用户需求与系统更改优化","实验室Lims项目","optG9Uhmb4","用户需求","opthKbCKQM","P2","opt0BgCHzl","进行中","optTRLa48U","2026-5-21","2026-8-31","样品拆分/接收加委托单号等需求完成一版+持续跟进","本周推进","opt3icSrMC","赛印/开发"
